grb,radec,instrument,z
180326A,19h26m55s -13d33',IPN,
180325A,10h29m44s +24d26',Swift,2.248
180324A,05h06m20s +56d43',Swift,
180318A,12h01m22s +33d56',IPN,
180317A,06h08m47s +23d10',IPN,
180316A,17h41m45s +00d44',Swift,
180314B,19h51m28s +23d37',Swift,
180314A,06h37m06s -24d29',Swift,
180311A,00h13m44s -54d29',Swift,
180305A,03h18m41s +32d06',Fermi,
180224A,13h30m39s +38d05',Swift,
180222A,17h06m17s -36d48',Swift,
180210A,00h07m12s +18d21',Fermi,
180205A,08h27m17s +11d33',Swift,1.409
180204AS,22h00m28s +30d51',Swift,
180116A,14h22m37s +18d58',MAXI,
180115A,00h48m18s -15d36',Swift,2.487?
180113C,11h41m12s -63d16',IPN,
180113B,00h26m47s +24d01',IPN,
180113A,01h16m52s +68d41',Swift,
180111A,09h59m22s +48d16',Swift,
180103A,10h38m20s -53d33',Swift,
180102A,13h32m28s +62d09',Swift,
171222A,09h53m10s +35d37',Swift,2.409
171216B,22h40m16s +52d03',IPN,
171216A,14h08m19s -50d28',Swift,
171212B,02h37m46s -70d37',Fermi,
171212A,19h35m36s +20d34',Swift,
171211A,06h32m26s -58d40',Swift,
171210A,22h21m14s +24d26',Fermi,
171209A,09h17m32s -30d32',Swift,
171205A,11h09m47s -12d36',Swift,0.0368
171124A,22h22m05s +35d13',Fermi,
171123A,12h24m46s +32d32',Swift,
171120A,10h55m09s +22d27',Swift,
171119A,09h01m16s -50d17',IPN,
171115A,18h33m39s +09d08',Swift,
171112A,01h20m18s -59d38',MAXI,
171103AS,16h38m09s -10d13',Swift,
171102B,19h12m25s +22d26',Swift,
171102A,12h30m55s +54d02',Fermi,
171027A,04h06m43s -02d36',Swift,
171022A,14h21m25s +12d51',IPN,
171020A,02h37m03s +15d11',Swift,1.87
171011A,15h47m03s -10d04',Swift,
171010B,02h16m30s -54d25',Swift,
171010A,04h26m58s -10d32',Fermi,0.3285
171007A,09h02m10s +42d51',Swift,
171004A,09h16m39s +52d41',Swift,
171001A,01h28m21s -11d54',Swift,
170921B,08h49m30s +57d03',IPN,
