COORD_SYSTEM: Equatorial
# Equatorial, Galactic, or Ecliptic - default is Equatorial
EQUINOX: J2000
# B1950, J2000, or blank for Galactic - default is J2000
NAME-RESOLVER: NED
# NED  Simbad - default is Simbad
#Name       RA/LON      DEC/LAT     PM-RA   PM-DEC  EPOCH
GRB100316C	02h09m10s	-68d01m
GRB100316B	10h54m00s	-45d29m
GRB100316A	16h48m08s	+71d50m
GRB100305A	11h13m28s	+42d23m
GRB100302A	13h01m23s	+74d35m
GRB100225A	20h41m12s	-59d24m
GRB100224A	05h33m52s	-08d00m
GRB100219A	10h16m53s	-12d34m
GRB100216A	10h17m03s	+35d31m
GRB100213B	08h17m21s	+43d27m
GRB100213A	23h17m43s	+43d23m
GRB100212A	23h45m51s	+49d30m
GRB100206A	03h08m42s	+13d10m
GRB100205A	09h25m37s	+31d44m
GRB100203A	06h24m54s	+04d48m
GRB100119A	19h57m18s	-53d10m
GRB100117A	00h45m02s	-01d36m
GRB100116A	20h20m05s	+14d27m
GRB100115A	00h13m20s	-00d49m
GRB100111A	16h28m09s	+15d33m
GRB100103A	07h29m27s	-34d27m
GRB091230	08h51m51s	-53d53m
GRB091221	03h43m01s	+23d13m
GRB091208B	01h57m39s	+16d53m
GRB091208	00h01m06s	+65d40m
GRB091202	09h15m11s	+62d33m
GRB091130B	13h32m24s	+34d05m
GRB091127	02h26m17s	-18d57m
GRB091120	15h07m14s	-21d47m
GRB091117	02h03m47s	-16d57m
GRB091112	17h11m00s	-36d44m
GRB091111	09h11m15s	-45d55m
GRB091109B	07h31m00s	-54d06m
GRB091109	20h37m00s	-44d11m
GRB091104	13h54m53s	+47d23m
GRB091102	04h50m29s	-72d32m
GRB091031	04h42m48s	-61d35m
GRB091029	04h00m44s	-56d00m
GRB091026	18h26m20s	-86d07m
GRB091024	22h36m50s	+56d52m
GRB091020	11h42m52s	+50d58m
GRB091018	02h08m51s	-57d32m
GRB091015	20h24m31s	-06d10m
GRB091010	19h54m40s	-22d32m
GRB091003	16h46m05s	+36d38m
GRB090929B	07h50m49s	-00d38m
GRB090929	03h45m58s	-05d58m
GRB090927	22h55m49s	-70d59m
GRB090926B	03h05m16s	-39d01m
GRB090926	23h33m36s	-66d19m
GRB090916	08h26m19s	+25d56m
GRB090915	15h51m58s	+15d29m
GRB090912	12h32m22s	+61d31m
GRB090904B	17h36m46s	-25d13m
GRB090904	06h43m32s	+50d12m
GRB090902B	17h40m00s	+27d20m
GRB090831C	07h13m07s	-25d06m
GRB090831	09h41m36s	+51d24m
GRB090827	01h13m44s	-50d54m
GRB090823	08h34m51s	+60d40m
GRB090817	04h15m58s	+44d08m
GRB090815C	04h17m58s	-65d57m
GRB090814B	04h18m59s	+60d36m
GRB090814	15h58m27s	+25d36m
GRB090813	15h08m04s	+88d34m
GRB090812	23h32m47s	-10d36m
GRB090809	21h54m35s	-00d05m
GRB090807	18h14m59s	+10d17m
GRB090728	01h58m38s	+41d39m
GRB090727	21h03m53s	+64d55m
GRB090726	16h35m16s	+72d52m
GRB090720	13h34m47s	-10d20m
GRB090715B	16h45m23s	+44d50m
GRB090715	10h08m29s	+10d00m
GRB090712	04h40m25s	+22d33m
GRB090709B	06h14m22s	+64d05m
GRB090709	19h19m44s	+60d44m
GRB090708	10h18m31s	+26d38m
GRB090704	13h52m49s	+22d47m
GRB090702	11h43m33s	+11d30m
GRB090628	15h48m12s	-15d45m
GRB090626	11h20m02s	-33d30m
GRB090625B	00h09m03s	-65d47m
GRB090621B	20h53m44s	+69d01m
GRB090621	00h43m57s	+61d58m
GRB090618	19h36m05s	+78d21m
GRB090607	12h44m50s	+44d08m
GRB090531B	16h48m15s	-36d01m
GRB090531	11h54m45s	+07d48m
GRB090530	11h57m35s	+26d35m
GRB090529	14h09m54s	+24d26m
GRB090520	00h46m27s	-08d00m
GRB090519	09h29m10s	+00d11m
GRB090518	07h59m44s	+00d46m
GRB090516	09h13m05s	-11d51m
GRB090515	10h56m41s	+14d27m
GRB090510	22h14m13s	-26d36m
GRB090509	16h05m37s	-28d24m
GRB090429B	14h02m49s	+32d10m
GRB090429	06h02m14s	-52d23m
GRB090427	15h43m43s	-13d30m
GRB090426	12h36m22s	+32d58m
GRB090424	12h38m09s	+16d50m
GRB090423	09h55m35s	+18d07m
GRB090422	19h39m01s	+40d23m
GRB090419	13h07m54s	-75d36m
GRB090418B	15h03m38s	+17d13m
GRB090418	17h57m20s	+33d25m
GRB090417B	13h58m49s	+47d00m
GRB090417	02h19m59s	-07d11m
GRB090410	22h19m55s	+15d28m
GRB090407	04h35m50s	-12d40m
GRB090404	15h56m52s	+35d30m
GRB090401B	06h20m24s	-08d58m
GRB090401	23h23m38s	+29d46m
GRB090328	06h03m29s	-41d57m
GRB090324	17h08m43s	-48d09m
GRB090323	12h42m46s	+17d05m
GRB090313	13h13m35s	+08d06m
GRB090309	18h59m55s	-25d16m
GRB090308	12h14m06s	-48d53m
GRB090307	16h19m55s	-28d39m
GRB090306B	15h24m49s	-06d57m
GRB090305	16h07m02s	-31d34m
GRB090301	22h32m34s	+26d39m
GRB090217	13h39m36s	-08d24m
GRB090205	14h43m42s	-27d52m
GRB090201	06h08m07s	-46d35m
GRB090129	17h56m22s	-32d50m
GRB090126	00h15m23s	+81d22m
GRB090123	00h27m06s	-23d31m
GRB090118	03h19m28s	+18d29m
GRB090117	10h56m01s	-58d15m
GRB090113	02h08m18s	+33d27m
GRB090111	16h46m35s	+00d05m
GRB090107B	18h59m15s	+59d36m
GRB090107	20h09m42s	+04d44m
GRB090102	08h33m02s	+33d05m
GRB081230	02h29m16s	-25d08m
GRB081228	02h37m52s	+30d51m
GRB081226B	01h41m51s	-47d25m
GRB081226	08h02m06s	-69d00m
GRB081222	01h31m00s	-34d08m
GRB081221	01h03m13s	-24d32m
GRB081211B	11h12m55s	+53d51m
