COORD_SYSTEM: Equatorial
# Equatorial, Galactic, or Ecliptic - default is Equatorial
EQUINOX: J2000
# B1950, J2000, or blank for Galactic - default is J2000
NAME-RESOLVER: NED
# NED  Simbad - default is Simbad
#Name       RA/LON      DEC/LAT     PM-RA   PM-DEC  EPOCH
GRB051016	08h11m15s	-18d19m
GRB051012	18h02m15s	-52d48m
GRB051008	13h31m29s	+42d05m
GRB051006	07h23m19s	+09d32m
GRB051001	23h23m53s	-31d32m
GRB050925	20h13m47s	+34d20m
GRB050922C	21h09m34s	-08d46m
GRB050922B	00h23m12s	-05d36m
GRB050922X	18h04m37s	-32d01m
GRB050918	17h50m26s	-25d25m
GRB050916	09h03m58s	-51d26m
GRB050915B	14h36m23s	-67d24m
GRB050915	05h26m51s	-28d02m
GRB050911	00h54m46s	-38d52m
GRB050908	01h21m51s	-12d58m
GRB050906	03h31m13s	-14d37m
GRB050904	00h54m41s	+14d08m
GRB050827	04h17m07s	+18d13m
GRB050826	05h50m55s	-02d41m
GRB050824X	00h48m57s	+22d36m
GRB050822X	03h24m19s	-46d01m
GRB050820B	09h02m14s	-72d40m
GRB050820	22h29m36s	+19d35m
GRB050819	23h54m56s	+24d51m
GRB050815	19h34m18s	+09d10m
GRB050814	17h36m49s	+46d20m
GRB050813	16h08m02s	+11d15m
GRB050807	20h12m48s	-37d22m
GRB050803	23h22m36s	+05d48m
GRB050802	14h37m09s	+27d48m
GRB050801	13h36m33s	-21d57m
GRB050730	14h08m16s	-03d46m
GRB050726	13h20m12s	-32d04m
GRB050724	16h24m51s	-27d31m
GRB050721	16h53m47s	-28d23m
GRB050717	14h17m20s	-50d32m
GRB050716	22h34m23s	+38d42m
GRB050715	10h22m41s	-00d04m
GRB050714B	11h18m47s	-15d32m
GRB050714	02h54m21s	+69d08m
GRB050713B	20h31m22s	+60d55m
GRB050713	21h22m09s	+77d04m
GRB050712	05h10m46s	+64d54m
GRB050709	23h01m30s	-38d59m
GRB050701	15h09m09s	-59d25m
GRB050626	12h26m59s	-63d08m
GRB050607	20h00m40s	+09d08m
GRB050603	02h39m55s	-25d11m
GRB050528	23h34m07s	+45d57m
GRB050525	18h32m35s	+26d20m
GRB050522X	13h20m37s	+24d47m
GRB050520	12h50m02s	+30d27m
GRB050509CX	12h53m08s	-44d51m
GRB050509B	12h36m13s	+29d00m
GRB050509	20h42m21s	+54d04m
GRB050507	03h12m13s	-11d04m
GRB050505	09h27m08s	+30d15m
GRB050504	13h24m01s	+40d40m
GRB050502B	09h30m10s	+17d00m
GRB050502	13h29m46s	+42d40m
GRB050422	21h37m43s	+55d47m
GRB050421	20h28m58s	+73d40m
GRB050418	02h57m22s	-18d32m
GRB050416B	08h55m25s	+11d10m
GRB050416X	12h33m55s	+21d03m
GRB050412	12h04m29s	-01d15m
GRB050410	05h58m59s	+79d36m
GRB050408	12h01m55s	+10d52m
GRB050406X	02h17m43s	-50d10m
GRB050401	16h31m31s	+02d11m
GRB050326	00h27m26s	-71d22m
GRB050319	10h16m38s	+43d34m
GRB050318	03h18m43s	-46d24m
GRB050315	20h25m53s	-42d35m
GRB050306	18h49m17s	-09d10m
GRB050223	18h05m32s	-62d30m
GRB050219B	05h25m06s	-57d46m
GRB050219	11h05m38s	-40d41m
GRB050215BX	11h37m48s	+40d48m
GRB050215	23h13m32s	+49d19m
GRB050209	08h26m09s	+19d41m
GRB050202	19h22m18s	-38d44m
GRB050129	16h51m12s	-03d05m
GRB050128	14h38m21s	-34d46m
GRB050126	18h32m27s	+42d23m
GRB050124	12h51m31s	+13d02m
GRB050123	10h31m34s	-11d34m
GRB050117	23h53m42s	+65d56m
GRB041228	22h26m34s	+05d03m
GRB041226	05h18m10s	+73d21m
GRB041224	03h44m48s	-06d39m
GRB041223	06h40m44s	-37d04m
GRB041220	19h25m09s	+60d37m
GRB041219C	22h55m51s	-76d48m
GRB041219B	11h10m42s	-33d27m
GRB041219	00h24m26s	+62d50m
GRB041218	01h39m06s	+71d20m
GRB041217	10h59m10s	-17d57m
GRB041211	06h43m12s	+20d24m
GRB041016	01h44m44s	-04d24m
GRB041015	00h18m37s	+66d52m
GRB041006	00h54m53s	+01d12m
GRB040924	02h06m19s	+16d01m
GRB040916X	23h01m30s	-05d35m
GRB040912X	23h56m54s	-01d00m
GRB040903X	18h03m22s	-25d15m
GRB040827	15h16m59s	-16d08m
GRB040825BX	22h46m34s	-02d24m
GRB040825	22h58m59s	-10d56m
GRB040812X	16h26m05s	-44d43m
GRB040810	23h54m08s	-35d04m
GRB040802	18h47m24s	-44d29m
GRB040730	15h53m16s	-56d27m
GRB040709	20h53m53s	-28d13m
GRB040701X	20h47m46s	-40d14m
GRB040624	13h00m10s	-03d35m
GRB040511	14h47m50s	-44d15m
GRB040425	15h31m36s	-39d43m
GRB040423	15h06m44s	-24d48m
GRB040422	18h42m00s	+01d59m
GRB040403	07h40m55s	+68d13m
GRB040323	13h53m53s	-52d21m
GRB040319	10h10m41s	-23d47m
GRB040228B	10h12m12s	-07d20m
GRB040223	16h39m34s	-41d56m
GRB040106	11h52m15s	-46d46m
GRB031220	04h39m34s	+07d22m
GRB031203	08h02m30s	-39d51m
GRB031111BX	03h59m05s	+34d36m
GRB031111	04h49m44s	+17d28m
GRB031109BX	00h17m03s	-07d09m
GRB031026	03h18m42s	+28d22m
GRB030913	20h58m02s	-02d12m
GRB030824X	00h05m02s	+19d55m
GRB030823X	21h30m47s	+21d59m
GRB030821	21h42m33s	-45d12m
GRB030725	20h33m47s	-50d46m
GRB030723X	21h49m30s	-27d42m
GRB030528X	17h04m02s	-22d39m
GRB030519B	16h04m36s	-33d28m
GRB030509	05h26m24s	+07d09m
GRB030501B	18h54m19s	+23d52m
GRB030501	19h05m30s	+06d18m
GRB030429X	12h13m06s	-20d56m
GRB030418	10h54m53s	-06d59m
GRB030416X	11h06m51s	-02d53m
GRB030414	07h59m33s	-48d35m
GRB030413	13h14m25s	+62d21m
GRB030329	10h44m50s	+21d31m
GRB030328	12h10m46s	-09d22m
GRB030326	19h31m52s	-11d43m
GRB030325	04h43m07s	-19d06m
GRB030324	13h37m11s	-00d19m
GRB030323	11h06m06s	-21d54m
GRB030320	17h51m31s	-25d18m
GRB030306	21h53m27s	-10d52m
GRB030227	04h57m18s	+20d29m
GRB030226	11h33m05s	+25d54m
GRB030204	00h03m21s	+32d44m
GRB030131	13h27m08s	+30d46m
GRB030115C	12h56m36s	-48d28m
GRB030115B	21h38m58s	-80d14m
GRB030115	11h18m30s	+15d02m
GRB021219	18h50m00s	+31d52m
GRB021211	08h08m55s	+06d44m
GRB021206	16h00m43s	-09d43m
GRB021204	06h20m33s	+32d06m
GRB021201	08h07m46s	+21d14m
GRB021125	19h47m00s	+28d06m
GRB021113	01h33m56s	+40d27m
GRB021112	02h36m52s	+48d51m
GRB021104X	03h53m48s	+37d57m
GRB021023	07h24m55s	-16d17m
GRB021021X	00h17m23s	-01d37m
GRB021020	21h29m19s	+51d56m
GRB021016	00h33m44s	+46d47m
GRB021013	14h51m56s	-56d14m
GRB021008	12h45m48s	+44d11m
GRB021004	00h26m56s	+18d56m
GRB020923	14h06m07s	+50d31m
GRB020910	13h56m01s	-44d44m
GRB020904	01h41m58s	-62d07m
GRB020903X	22h49m01s	-20d56m
GRB020819B	23h27m24s	+06d16m
GRB020813	19h46m38s	-19d35m
GRB020812	20h38m48s	-05d23m
GRB020801	20h43m08s	-46d50m
GRB020715	13h50m13s	+61d51m
GRB020714	12h09m05s	+83d07m
GRB020708	09h16m20s	+28d27m
