Search_Tgt,Target_name,RA(J2000),Dec(J2000),NAIF_ID,Instrument/Mode,AORKEY,AOR_label,reqbegintime,reqendtime,progid,PI,Release_date,DoC_file,reqmode
GRB161219B,GRB161219B,91.71425,-26.791528000000003,,IRAC Map PC,63314432,GRB161219B,2018-01-04 15:03:59,2018-01-04 15:33:10,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046800/r63314432/SPITZER_I_63314432_DOC.fits,IracMapPC
GRB161117A,GRB161117A,322.05229199999997,-29.613639000000003,,IRAC Map PC,63316736,GRB161117A,2017-08-12 21:34:49,2017-08-12 22:39:33,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC045800/r63316736/SPITZER_I_63316736_DOC.fits,IracMapPC
GRB161023A,GRB161023A,311.021708,-47.663472,,IRAC Map PC,63313664,GRB161023A,2017-08-11 15:59:05,2017-08-11 19:17:38,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC045800/r63313664/SPITZER_I_63313664_DOC.fits,IracMapPC
GRB161017A,GRB161017A,142.76916699999998,43.12675,,IRAC Map PC,63315968,GRB161017A,2018-02-21 15:00:58,2018-02-21 18:19:29,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC047200/r63315968/SPITZER_I_63315968_DOC.fits,IracMapPC
GRB161014A,GRB161014A,332.647792,7.468694,,IRAC Map PC,63312640,GRB161014A,2017-09-18 09:50:25,2017-09-18 13:08:55,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046100/r63312640/SPITZER_I_63312640_DOC.fits,IracMapPC
GRB161001A,GRB161001A,71.919958,-57.260833,,IRAC Map PC,63316480,GRB161001A,2017-10-07 16:21:21,2017-10-07 17:26:06,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046200/r63316480/SPITZER_I_63316480_DOC.fits,IracMapPC
GRB160821A,GRB160821A,171.256667,42.334722,,IRAC Map PC,63318016,GRB160821A,2017-08-16 12:33:55,2017-08-16 13:40:15,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC045800/r63318016/SPITZER_I_63318016_DOC.fits,IracMapPC
GRB160804A,GRB160804A,221.62975,9.999083,,IRAC Map PC,63315200,GRB160804A,2017-10-11 03:58:16,2017-10-11 04:27:28,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046200/r63315200/SPITZER_I_63315200_DOC.fits,IracMapPC
GRB160801A,GRB160801A,212.762875,13.489167000000002,,IRAC Map PC,63311616,GRB160801A,2017-10-19 19:48:13,2017-10-19 20:52:58,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046300/r63311616/SPITZER_I_63311616_DOC.fits,IracMapPC
GRB160607A,GRB160607A,13.66725,-4.948139,,IRAC Map PC,63311104,GRB160607A,2017-10-21 08:04:25,2017-10-21 10:13:56,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046300/r63311104/SPITZER_I_63311104_DOC.fits,IracMapPC
GRB160425A,GRB160425A,280.327375,-54.360028,,IRAC Map PC,63313408,GRB160425A,2017-08-03 22:21:20,2017-08-03 22:50:33,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC045700/r63313408/SPITZER_I_63313408_DOC.fits,IracMapPC
GRB160417A,GRB160417A,120.25683300000001,7.662944,,IRAC Map PC,63317760,GRB160417A,2017-08-03 06:38:19,2017-08-03 07:43:03,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC045700/r63317760/SPITZER_I_63317760_DOC.fits,IracMapPC
GRB160410A,GRB160410A,150.684875,3.478444,,IRAC Map PC,63312128,GRB160410A,2017-08-22 20:15:13,2017-08-22 21:19:57,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC045900/r63312128/SPITZER_I_63312128_DOC.fits,IracMapPC
GRB160327A,GRB160327A,146.70225,54.012889,,IRAC Map PC,63317504,GRB160327A,2018-02-12 16:14:19,2018-02-12 17:19:04,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC047100/r63317504/SPITZER_I_63317504_DOC.fits,IracMapPC
GRB160314A,GRB160314A,112.79054199999999,16.999639000000002,,IRAC Map PC,63314688,GRB160314A,2018-02-15 18:41:05,2018-02-15 19:10:15,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC047100/r63314688/SPITZER_I_63314688_DOC.fits,IracMapPC
GRB160313A,GRB160313A,183.7965,57.283471999999996,,IRAC Map PC,63315456,GRB160313A,2018-02-27 20:51:29,2018-02-27 23:01:00,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC047200/r63315456/SPITZER_I_63315456_DOC.fits,IracMapPC
GRB160303A,GRB160303A,168.7005,22.742389000000003,,IRAC Map PC,63315712,GRB160303A,2017-08-13 22:25:13,2017-08-13 23:29:58,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC045800/r63315712/SPITZER_I_63315712_DOC.fits,IracMapPC
GRB160228A,GRB160228A,107.315917,26.931611,,IRAC Map PC,62085632,GRB160228A,2017-06-29 01:34:58,2017-06-29 02:39:43,13104,"Perley, Daniel A",2017-07-20 10:00:00,/sha/archive/proc/IRAC045500/r62085632/SPITZER_I_62085632_DOC.fits,IracMapPC
GRB160227A,GRB160227A,194.8075,78.679194,,IRAC Map PC,62085376,GRB160227A,2018-01-29 09:14:27,2018-01-29 12:33:05,13104,"Perley, Daniel A",2018-02-15 10:00:00,/sha/archive/proc/IRAC047000/r62085376/SPITZER_I_62085376_DOC.fits,IracMapPC
GRB160223A,GRB160223A,147.59725,9.369167,,IRAC Map PC,62085120,GRB160223A,2017-02-27 20:00:18,2017-02-27 21:05:03,13104,"Perley, Daniel A",2017-03-09 10:00:00,/sha/archive/proc/IRAC044600/r62085120/SPITZER_I_62085120_DOC.fits,IracMapPC
GRB160203A,GRB160203A,161.951458,-24.788833,,IRAC Map PC,62084864,GRB160203A,2017-09-22 21:22:30,2017-09-23 01:47:01,13104,"Perley, Daniel A",2017-10-12 10:00:00,/sha/archive/proc/IRAC046100/r62084864/SPITZER_I_62084864_DOC.fits,IracMapPC
GRB160131A,GRB160131A,78.168,-7.049861,,IRAC Map PC,62084608,GRB160131A,2016-12-28 10:21:09,2016-12-28 11:05:17,13104,"Perley, Daniel A",2017-01-19 10:00:00,/sha/archive/proc/IRAC044200/r62084608/SPITZER_I_62084608_DOC.fits,IracMapPC
GRB160127A,GRB160127A,225.982333,0.072917,,IRAC Map PC,62084352,GRB160127A,2017-06-07 09:29:39,2017-06-07 10:34:23,13104,"Perley, Daniel A",2017-06-22 10:00:00,/sha/archive/proc/IRAC045300/r62084352/SPITZER_I_62084352_DOC.fits,IracMapPC
GRB160123A,GRB160123A,150.312667,-33.775222,,IRAC Map PC,62084096,GRB160123A,2017-04-23 00:08:37,2017-04-23 01:13:22,13104,"Perley, Daniel A",2017-05-10 10:00:00,/sha/archive/proc/IRAC045000/r62084096/SPITZER_I_62084096_DOC.fits,IracMapPC
GRB160123A,GRB160123A,150.312667,-33.775222,,IRAC Map PC,63313152,GRB160123A - ch2,2017-09-12 17:50:42,2017-09-12 18:55:27,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046000/r63313152/SPITZER_I_63313152_DOC.fits,IracMapPC
GRB160119A,GRB160119A,211.922292,20.461139000000003,,IRAC Map PC,62083840,GRB160119A,2017-10-25 13:54:09,2017-10-25 14:58:54,13104,"Perley, Daniel A",2017-11-02 10:00:00,/sha/archive/proc/IRAC046300/r62083840/SPITZER_I_62083840_DOC.fits,IracMapPC
GRB160117B,GRB160117B,132.19475,-16.366667,,IRAC Map PC,65630976,GRB160117B,2018-09-04 09:26:16,2018-09-04 10:10:26,13104,"Perley, Daniel A",2018-09-27 10:00:00,/sha/archive/proc/IRAC048600/r65630976/SPITZER_I_65630976_DOC.fits,IracMapPC
GRB160117A,GRB160117A,20.367417,-0.655389,,IRAC Map PC,62083584,GRB160117A,2017-10-18 17:03:12,2017-10-18 18:07:56,13104,"Perley, Daniel A",2017-11-02 10:00:00,/sha/archive/proc/IRAC046300/r62083584/SPITZER_I_62083584_DOC.fits,IracMapPC
GRB151210A,GRB151210A,65.116833,-71.250694,,IRAC Map PC,62083328,GRB151210A,2016-12-08 05:09:48,2016-12-08 06:14:33,13104,"Perley, Daniel A",2016-12-22 10:00:00,/sha/archive/proc/IRAC044000/r62083328/SPITZER_I_62083328_DOC.fits,IracMapPC
GRB151111A,GRB151111A,56.844792000000005,-44.162,,IRAC Map PC,62083072,GRB151111A,2017-10-25 06:11:08,2017-10-25 09:29:48,13104,"Perley, Daniel A",2017-11-02 10:00:00,/sha/archive/proc/IRAC046300/r62083072/SPITZER_I_62083072_DOC.fits,IracMapPC
GRB151031A,GRB151031A,83.196292,-39.121972,,IRAC Map PC,62082816,GRB151031A,2017-01-05 06:05:03,2017-01-05 06:49:12,13104,"Perley, Daniel A",2017-01-19 10:00:00,/sha/archive/proc/IRAC044200/r62082816/SPITZER_I_62082816_DOC.fits,IracMapPC
GRB151029A,GRB151029A,38.528,-35.385721999999994,,IRAC Map PC,63317248,GRB151029A - reobs,2017-10-20 15:06:08,2017-10-20 16:10:52,13104,"Perley, Daniel A",2018-04-05 10:00:00,/sha/archive/proc/IRAC046300/r63317248/SPITZER_I_63317248_DOC.fits,IracMapPC
GRB151027B,GRB151027B,76.219542,-6.450222,,IRAC Map PC,62082304,GRB151027B,2017-06-26 04:51:59,2017-06-26 09:16:48,13104,"Perley, Daniel A",2017-07-20 10:00:00,/sha/archive/proc/IRAC045500/r62082304/SPITZER_I_62082304_DOC.fits,IracMapPC
