Search_Tgt,Target_name,RA(J2000),Dec(J2000),NAIF_ID,Instrument/Mode,AORKEY,AOR_label,reqbegintime,reqendtime,progid,PI
GRB180222A,349.50009GLIMPSE,257.690402,-36.680074,,IRAC Map,21296384,l349.50009+01.78649.20070403,2007-04-04 13:39:32,2007-04-04 14:07:00,30570,"Benjamin, Robert A"
GRB180113C,11380-6311,175.115,-63.46555600000001,,IRAC Map,25265408,IRAC-0012,2008-07-19 20:44:31,2008-07-19 20:54:06,50026,"Fazio, Giovanni"
GRB180113C,BYF167,175.28396,-63.406043000000004,,IRAC Map PC,45468672,IRACchamp-0167,2012-10-14 16:32:12,2012-10-14 17:09:40,80024,"Barnes, Peter J"
GRB180113C,BYF165,175.057343,-63.471054,,IRAC Map PC,45469952,IRACchamp-0165,2012-10-14 15:54:00,2012-10-14 16:31:28,80024,"Barnes, Peter J"
GRB180113C,295.13129GLIMPSE,174.97796599999998,-63.783279,,IRAC Map,23682560,l295.13129-02.00000.20080719,2008-07-19 06:38:15,2008-07-19 07:01:15,40791,"Majewski, Steven R"
GRB180113C,295.16962GLIMPSE,175.48283999999998,-63.119535,,IRAC Map,23709696,l295.16962-01.30000.20080719,2008-07-20 00:31:49,2008-07-20 00:46:05,40791,"Majewski, Steven R"
GRB180113C,294.89709GLIMPSE,175.37530700000002,-62.275842000000004,,IRAC Map,23692288,l294.89709-00.50000.20080719,2008-07-20 18:05:19,2008-07-20 18:57:20,40791,"Majewski, Steven R"
GRB180113C,295.11102GLIMPSE,175.35900700000002,-63.102258,,IRAC Map PC,42687744,l295.11102-01.29829.20120330,2012-03-31 01:38:15,2012-03-31 02:45:49,80074,"Whitney, Barbara A"
GRB180113C,294.90704GLIMPSE,174.696786,-63.40604200000001,,IRAC Map PC,42708736,l294.90704-01.67181.20120320,2012-03-23 09:11:31,2012-03-23 09:59:46,80074,"Whitney, Barbara A"
GRB180113C,295.35492GLIMPSE,175.845014,-63.22424399999999,,IRAC Map PC,42701056,l295.35492-01.35800.20120330,2012-03-31 02:46:50,2012-03-31 04:00:26,80074,"Whitney, Barbara A"
GRB171212A,56.32288GLIMPSE,294.028656,20.685009,,IRAC Map,12423936,l056.32288-00.01230.20041028,2004-10-28 16:15:16,2004-10-28 17:11:55,188,"Churchwell, Ed"
GRB171212A,56.00147GLIMPSE,293.861914,20.404072,,IRAC Map,12425472,l056.00147-00.01276.20041028,2004-10-28 15:17:01,2004-10-28 16:13:40,188,"Churchwell, Ed"
GRB171103A,ZetaOph,249.313875,-10.515861,,IRAC Map,17774848,IRAC-ZetaOph,2007-04-01 07:38:01,2007-04-01 09:47:41,30088,"Noriega-Crespo, Alberto"
GRB170912B,313.66522GLIMPSE,216.282713,-62.069430000000004,,IRAC Map PC,42682624,l313.66522-01.16600.20120420,2012-04-22 07:41:21,2012-04-22 09:05:47,80074,"Whitney, Barbara A"
GRB170912B,313.35318GLIMPSE,215.65752200000003,-62.178436,,IRAC Map PC,42712064,l313.35318-01.16600.20120420,2012-04-22 06:15:44,2012-04-22 07:40:12,80074,"Whitney, Barbara A"
GRB170912B,312.92670GLIMPSE,213.993987,-61.225778000000005,,IRAC Map,9235968,l312.92670-00.00522.20040308,2004-03-11 07:25:58,2004-03-11 08:30:20,190,"Churchwell, Ed"
GRB170912B,312.55193GLIMPSE,213.25422200000003,-61.34465600000001,,IRAC Map,9232384,l312.55193-00.00588.20040308,2004-03-11 06:20:27,2004-03-11 07:24:49,190,"Churchwell, Ed"
GRB170823A,NGC4534,188.5225,35.518471999999996,,IRAC Map PC,31099648,S4G-NGC4534,2010-07-04 04:21:28,2010-07-04 04:34:22,61063,"Sheth, Kartik"
GRB170629A,265.25601GLIMPSE,130.36303999999998,-46.505804,,IRAC Map PC,39276544,l265.25601-02.74586.20100613,2010-06-17 06:07:02,2010-06-17 06:56:44,61072,"Whitney, Barbara A"
GRB170629A,265.41843GLIMPSE,130.31343700000002,-46.737396999999994,,IRAC Map PC,39324928,l265.41843-02.91462.20100613,2010-06-17 06:56:44,2010-06-17 07:14:29,61072,"Whitney, Barbara A"
GRB170626A,beta UMa - cluster IRAC,165.46033300000002,56.382417000000004,,IRAC Map,4306944,MIPSGTO-DDOZ-03.2,2004-04-24 19:38:58,2004-04-24 19:55:33,57,"Rieke, George"
GRB170626A,LSW 28,165.366042,56.326257999999996,,IRAC Map PC,53168640,LSW 28,2015-07-29 11:33:09,2015-07-29 12:18:36,11107,"Perez-Fournon, Ismael"
GRB170511A,l70.90665d+0.84422d,300.537364,33.20191,,IRAC Map PC,41153280,l70.90665d+0.84422d,2011-06-23 00:52:39,2011-06-23 01:10:50,61072,"Whitney, Barbara A"
GRB170511A,l70.56254d-0.07969d,301.521953,32.621581,,IRAC Map PC,41157120,l70.56254d-0.07969d,2011-06-25 19:37:27,2011-06-25 20:35:54,61072,"Whitney, Barbara A"
GRB170511A,l69.88734d+1.12951d,301.463342,33.326639,,IRAC Map PC,41160704,l69.88734d+1.12951d,2010-12-12 21:41:52,2010-12-12 22:37:28,61072,"Whitney, Barbara A"
GRB170511A,l70.23249d+1.62030d,300.485133,33.94601,,IRAC Map PC,41156608,l70.23249d+1.62030d,2010-12-12 20:55:00,2010-12-12 21:40:51,61072,"Whitney, Barbara A"
GRB170511A,70.40222GLIMPSE,300.469418,33.659239,,IRAC Map PC,39294208,l070.40222+01.64000.20100619,2010-06-28 05:53:48,2010-06-28 07:00:44,61072,"Whitney, Barbara A"
GRB170405A,WISE1439-25,219.80562200000003,-25.33963,,IRAC Map PC,45068288,Ch 1&2 (epoch 1) - WISE1439-25,2012-04-20 01:06:41,2012-04-20 01:13:18,80109,"Kirkpatrick, J.Davy"
GRB170318B,39.40790GLIMPSE,284.665368,6.352793,,IRAC Map PC,45927424,l039.40790+01.29395.20121115,2012-11-25 07:14:50,2012-11-25 08:35:41,80074,"Whitney, Barbara A"
GRB170318B,39.19626GLIMPSE,284.677363,6.108866,,IRAC Map PC,45933312,l039.19626+01.17200.20121115,2012-11-24 19:59:28,2012-11-24 21:31:11,80074,"Whitney, Barbara A"
GRB170311A,Bulge4,280.315,-29.823694,,IRAC Map PC,48371968,Bulge4_Map4,2014-07-14 11:05:06,2014-07-14 15:03:48,90089,"Freedman, Wendy"
GRB170311A,Bulge4,280.315,-29.823694,,IRAC Map PC,48372224,Bulge4_Map3,2014-07-14 07:05:27,2014-07-14 11:04:09,90089,"Freedman, Wendy"
GRB170311A,Bulge4,280.315,-29.823694,,IRAC Map PC,48372480,Bulge4_Map2,2014-07-14 03:05:47,2014-07-14 07:04:30,90089,"Freedman, Wendy"
GRB170311A,Bulge4,280.315,-29.823694,,IRAC Map PC,48372736,Bulge4_Map1,2014-07-13 23:06:07,2014-07-14 03:04:50,90089,"Freedman, Wendy"
GRB170131A,ISOSSJ22478+6357,341.975417,63.953056000000004,,IRAC Map PC,51117568,IRAC-ISOSS J22478+6357,2014-12-06 18:01:16,2014-12-06 18:53:51,10012,"Hora, Joseph"
GRB161219B,GRB161219B,91.71425,-26.791528000000003,,IRAC Map PC,63314432,GRB161219B,2018-01-04 15:03:59,2018-01-04 15:33:10,13104,"Perley, Daniel A"
GRB161117A,GRB161117A,322.05229199999997,-29.613639000000003,,IRAC Map PC,63316736,GRB161117A,2017-08-12 21:34:49,2017-08-12 22:39:33,13104,"Perley, Daniel A"
GRB161023A,GRB161023A,311.021708,-47.663472,,IRAC Map PC,63313664,GRB161023A,2017-08-11 15:59:05,2017-08-11 19:17:38,13104,"Perley, Daniel A"
GRB161017A,GRB161017A,142.76916699999998,43.12675,,IRAC Map PC,63315968,GRB161017A,2018-02-21 15:00:58,2018-02-21 18:19:29,13104,"Perley, Daniel A"
GRB161014A,GRB161014A,332.647792,7.468694,,IRAC Map PC,63312640,GRB161014A,2017-09-18 09:50:25,2017-09-18 13:08:55,13104,"Perley, Daniel A"
GRB161004B,2MASS J0729-3954,112.250083,-39.901194,,IRAC Map PC,39886080,epoch2-2MASS J0729-3954,2010-12-11 07:02:31,2010-12-11 07:04:10,70021,"Luhman, Kevin L"
GRB161004B,2MASS J0729-3954,112.250083,-39.901194,,IRAC Map PC,34783232,IRACPC-0729-3954,2009-12-04 14:34:23,2009-12-04 14:39:18,60093,"Leggett, Sandy K"
GRB161004B,2MASS_J07290002-3954043,112.25010400000001,-39.901222,,IRAC Map PC,57884672,Dist_bin_B_epoch1 - 2MASS_J07290002-3954043,2016-06-10 12:55:14,2016-06-10 13:13:29,11161,"Deacon, Niall R"
GRB161004B,2MASSJ0729-3954,112.25010400000001,-39.901222,,IRAC Map PC,44503040,2MASSJ0729 ep2,2012-02-26 19:59:28,2012-02-26 20:02:26,80233,"Dupuy, Trent"
