grb,ra,dec
GRB180326A,19h26m55s,-13d33m
GRB180325A,10h29m44s,+24d26m
GRB180324A,05h06m20s,+56d43m
GRB180318A,12h01m22s,+33d56m
GRB180317A,06h08m47s,+23d10m
GRB180316A,17h41m45s,+00d44m
GRB180314B,19h51m28s,+23d37m
GRB180314A,06h37m06s,-24d29m
GRB180311A,00h13m44s,-54d29m
GRB180305A,03h18m41s,+32d06m
GRB180224A,13h30m39s,+38d05m
GRB180222A,17h06m17s,-36d48m
GRB180210A,00h07m12s,+18d21m
GRB180205A,08h27m17s,+11d33m
GRB180204A,22h00m28s,+30d51m
GRB180116A,14h22m37s,+18d58m
GRB180115A,00h48m18s,-15d36m
GRB180113C,11h41m12s,-63d16m
GRB180113B,00h26m47s,+24d01m
GRB180113A,01h16m52s,+68d41m
GRB180111A,09h59m22s,+48d16m
GRB180103A,10h38m20s,-53d33m
GRB180102A,13h32m28s,+62d09m
GRB171222A,09h53m10s,+35d37m
GRB171216B,22h40m16s,+52d03m
GRB171216A,14h08m19s,-50d28m
GRB171212B,02h37m46s,-70d37m
GRB171212A,19h35m36s,+20d34m
GRB171211A,06h32m26s,-58d40m
GRB171210A,22h21m14s,+24d26m
GRB171209A,09h17m32s,-30d32m
GRB171205A,11h09m47s,-12d36m
GRB171124A,22h22m05s,+35d13m
GRB171123A,12h24m46s,+32d32m
GRB171120A,10h55m09s,+22d27m
GRB171119A,09h01m16s,-50d17m
GRB171115A,18h33m39s,+09d08m
GRB171112A,01h20m18s,-59d38m
GRB171103A,16h38m09s,-10d13m
GRB171102B,19h12m25s,+22d26m
GRB171102A,12h30m55s,+54d02m
GRB171027A,04h06m43s,-02d36m
GRB171022A,14h21m25s,+12d51m
GRB171020A,02h37m03s,+15d11m
GRB171011A,15h47m03s,-10d04m
GRB171010B,02h16m30s,-54d25m
GRB171010A,04h26m58s,-10d32m
GRB171007A,09h02m10s,+42d51m
GRB171004A,09h16m39s,+52d41m
GRB171001A,01h28m21s,-11d54m
GRB170921B,08h49m30s,+57d03m
GRB170921A,01h47m24s,+30d52m
GRB170912B,14h21m52s,-62d02m
GRB170912A,11h09m29s,-54d22m
GRB170911A,04h48m23s,+30d55m
GRB170906C,08h34m49s,+70d47m
GRB170906B,15h28m53s,-28d15m
GRB170906A,13h35m58s,-47d07m
GRB170904A,02h21m30s,-32d30m
GRB170903A,16h58m03s,+34d59m
GRB170830A,17h48m58s,-02d00m
GRB170827A,18h24m43s,-40d13m
GRB170826B,22h05m02s,-33d54m
GRB170823A,12h34m53s,+35d35m
GRB170822A,06h17m32s,+55d01m
GRB170817A,12h47m00s,-39d48m
GRB170816A,23h23m22s,+12d51m
GRB170813A,13h24m13s,-05d28m
GRB170810A,12h31m48s,+03d39m
GRB170808B,09h42m38s,+02d11m
GRB170808A,10h30m15s,-28d17m
GRB170807A,09h33m31s,-17d20m
GRB170805A,17h56m56s,-18d19m
GRB170804A,00h25m44s,-64d45m
GRB170803A,11h39m48s,-16d19m
GRB170730A,16h21m12s,-60d53m
GRB170728B,15h52m11s,+70d09m
GRB170728A,03h55m35s,+12d09m
GRB170724A,10h17m17s,+01d59m
GRB170714A,02h17m17s,+01d59m
GRB170711A,03h03m09s,+47d51m
GRB170710C,23h29m01s,+51d18m
GRB170710B,02h52m29s,+42d41m
GRB170710A,15h27m15s,-38d33m
GRB170708A,22h23m20s,+19d48m
GRB170705A,12h46m49s,+18d18m
GRB170629A,08h40m04s,-46d35m
GRB170626A,11h01m39s,+56d28m
GRB170616A,07h33m45s,-02d15m
GRB170610A,06h10m16s,-09d25m
GRB170607A,00h29m22s,+09d14m
GRB170604A,22h50m35s,-15d25m
GRB170531B,19h07m35s,-16d26m
GRB170531A,08h05m03s,-14d02m
GRB170526A,00h18m50s,+01d14m
GRB170524B,06h03m27s,-17d05m
GRB170524A,21h17m49s,+48d35m
GRB170522B,10h37m04s,-35d33m
GRB170522A,09h17m22s,+25d40m
GRB170519A,10h53m48s,+25d23m
GRB170516A,02h46m24s,-55d54m
GRB170511A,20h02m31s,+33d19m
GRB170510A,10h39m39s,-39d20m
GRB170428A,22h00m15s,+26d55m
GRB170424A,22h54m48s,-45d07m
GRB170419B,04h01m59s,-15d06m
GRB170419A,05h19m28s,-21d25m
GRB170409A,23h10m07s,-07d10m
GRB170405A,14h39m14s,-25d15m
GRB170331A,21h35m08s,-24d25m
GRB170330A,18h53m18s,-13d26m
GRB170329A,23h46m24s,+09d48m
GRB170325A,08h29m56s,+20d32m
GRB170320A,21h20m18s,+55d04m
GRB170318B,18h57m07s,+06d16m
GRB170318A,20h22m35s,+28d25m
GRB170317A,06h12m21s,+50d31m
GRB170311B,23h39m40s,+31d11m
GRB170311A,18h42m15s,-30d04m
GRB170307A,00h54m08s,+09d32m
GRB170306B,10h18m36s,+51d38m
GRB170306A,17h32m20s,-44d45m
GRB170305A,02h38m38s,+09d54m
GRB170228A,15h58m12s,-03d35m
